SA2_CODE_2021,city_chooser,income_household,mortgage_existing,rent,house_price,rental_yield
101021007,Regional,74308,20784,17160,1000000,1.7160000000000002
101021008,Regional,103428,23400,18200,1000000,1.82
101021009,Regional,88556,20400,17160,1000000,1.7160000000000002
101021010,Regional,93392,20400,16120,1000000,1.6119999999999999
101021012,Regional,156728,27600,22360,1000000,2.236
101021610,Regional,174876,31200,27612,1000000,2.7612
101021611,Regional,152152,29004,24180,1000000,2.418
101031013,Regional,65156,12996,10400,1000000,1.04
101031014,Regional,71604,15600,15080,1000000,1.508
101031015,Regional,82992,19524,15080,1000000,1.508
101031016,Regional,99372,20748,19760,1000000,1.976
101041017,Regional,58240,18228,17160,1000000,1.7160000000000002
101041018,Regional,63180,19200,18200,1000000,1.82
101041019,Regional,66352,18204,16640,1000000,1.664
101041020,Regional,63440,15600,13780,1000000,1.3780000000000001
101041021,Regional,71656,20796,18720,1000000,1.872
101041022,Regional,45500,9096,0,1000000,0
101041023,Regional,52676,18204,14040,1000000,1.4040000000000001
101041024,Regional,67080,16644,15600,1000000,1.5599999999999998
101041025,Regional,64220,19200,17680,1000000,1.7680000000000002
101041026,Regional,59800,18204,16120,1000000,1.6119999999999999
101041027,Regional,52884,18000,15080,1000000,1.508
101051539,Regional,73736,19632,16640,1000000,1.664
101051540,Regional,78832,20796,15600,1000000,1.5599999999999998
101061541,Regional,90428,21276,17680,1000000,1.7680000000000002
101061542,Regional,133900,27300,20800,1000000,2.08
101061543,Regional,60840,15600,13000,1000000,1.3
101061544,Regional,60788,12996,11440,1000000,1.1440000000000001
102011028,Regional,118352,29256,27040,1000000,2.704
102011029,Regional,92300,26004,23400,1000000,2.34
102011030,Regional,92404,26004,18200,1000000,1.82
102011031,Regional,74568,26004,21320,1000000,2.1319999999999997
102011032,Regional,75920,22620,20280,1000000,2.028
102011033,Regional,114400,24960,23400,1000000,2.34
102011034,Regional,69836,25200,20800,1000000,2.08
102011035,Regional,101400,23916,21840,1000000,2.1839999999999997
102011036,Regional,103324,24000,22100,1000000,2.21
102011037,Regional,89284,24000,20800,1000000,2.08
102011038,Regional,91520,26004,23920,1000000,2.392
102011039,Regional,110760,30000,27040,1000000,2.704
102011040,Regional,69108,24960,20800,1000000,2.08
102011041,Regional,113776,29208,26000,1000000,2.6
102011042,Regional,65572,24000,19760,1000000,1.976
102011043,Regional,74360,23400,20800,1000000,2.08
102021044,Regional,78780,24000,20800,1000000,2.08
102021045,Regional,77844,20796,20800,1000000,2.08
102021046,Regional,64064,20796,18720,1000000,1.872
102021047,Regional,93756,24000,22100,1000000,2.21
102021048,Regional,64428,20400,18720,1000000,1.872
102021049,Regional,133900,31200,22880,1000000,2.2880000000000003
102021050,Regional,56108,20796,19760,1000000,1.976
102021051,Regional,104572,24000,20800,1000000,2.08
102021052,Regional,73476,21036,20540,1000000,2.054
102021053,Regional,61152,23400,18980,1000000,1.8980000000000001
102021054,Regional,60164,23400,18200,1000000,1.82
102021055,Regional,93340,22392,22100,1000000,2.21
102021056,Regional,105144,26004,25740,1000000,2.574
102021057,Regional,63128,20280,18720,1000000,1.872
103011059,Regional,92976,21600,18720,1000000,1.872
103011060,Regional,95420,22356,14196,1000000,1.4196
103011061,Regional,71812,18204,14560,1000000,1.456
103011612,Regional,62296,17160,15340,1000000,1.534
103011613,Regional,92976,20796,18200,1000000,1.82
103021062,Regional,62816,10404,9360,1000000,0.936
103021063,Regional,56056,14556,11960,1000000,1.196
103021064,Regional,60164,13968,10920,1000000,1.0919999999999999
103021065,Regional,65364,15084,11960,1000000,1.196
103021066,Regional,54236,11436,10296,1000000,1.0295999999999998
103021067,Regional,72228,15600,13520,1000000,1.352
103021068,Regional,62660,12996,9360,1000000,0.936
103021069,Regional,68848,12996,10400,1000000,1.04
103031070,Regional,56576,17544,14040,1000000,1.4040000000000001
103031071,Regional,72436,18204,14040,1000000,1.4040000000000001
103031072,Regional,90584,20796,18876,1000000,1.8876
103031073,Regional,46280,12996,11960,1000000,1.196
103031074,Regional,73528,19812,14560,1000000,1.456
103031075,Regional,0,0,0,1000000,0
103041076,Regional,80496,18204,14040,1000000,1.4040000000000001
103041077,Regional,69784,18120,15600,1000000,1.5599999999999998
103041078,Regional,104104,21324,19500,1000000,1.95
103041079,Regional,93548,21276,13520,1000000,1.352
104011080,Regional,58500,15600,15600,1000000,1.5599999999999998
104011081,Regional,62036,16380,15600,1000000,1.5599999999999998
104011082,Regional,56108,18204,18720,1000000,1.872
104021083,Regional,68484,18204,19240,1000000,1.924
104021084,Regional,65364,20796,18460,1000000,1.846
104021085,Regional,63388,20796,18720,1000000,1.872
104021086,Regional,87152,20796,18980,1000000,1.8980000000000001
104021087,Regional,48828,14400,14560,1000000,1.456
104021088,Regional,97916,24000,23816,1000000,2.3816
104021089,Regional,70304,20400,19240,1000000,1.924
104021090,Regional,61256,20160,18200,1000000,1.82
104021091,Regional,69992,20796,19760,1000000,1.976
105011092,Regional,70616,10404,8320,1000000,0.832
105011093,Regional,88504,13176,9880,1000000,0.988
105011094,Regional,65572,10404,9880,1000000,0.988
105011095,Regional,70044,12996,10400,1000000,1.04
105011096,Regional,51532,10224,9308,1000000,0.9308000000000001
105021097,Regional,60996,10404,11440,1000000,1.1440000000000001
105021098,Regional,57356,11184,7800,1000000,0.7799999999999999
105031099,Regional,56108,10452,10400,1000000,1.04
105031100,Regional,87308,18204,15340,1000000,1.534
105031101,Regional,86424,18804,16640,1000000,1.664
105031102,Regional,84552,18204,16640,1000000,1.664
105031103,Regional,101504,20796,13780,1000000,1.3780000000000001
105031104,Regional,59852,12996,10400,1000000,1.04
105031105,Regional,68588,14400,12480,1000000,1.248
105031106,Regional,59956,13200,11960,1000000,1.196
106011107,Regional,110656,23400,20800,1000000,2.08
106011108,Regional,65416,18204,16640,1000000,1.664
106011109,Regional,94328,21948,18720,1000000,1.872
106011110,Regional,77220,21840,15600,1000000,1.5599999999999998
106011111,Regional,76128,19236,17940,1000000,1.794
106011112,Regional,100620,21120,17160,1000000,1.7160000000000002
106011113,Regional,105768,26004,18720,1000000,1.872
106021114,Regional,91312,22464,20280,1000000,2.028
106021116,Regional,118820,26004,21840,1000000,2.1839999999999997
106021614,Regional,82680,20796,18200,1000000,1.82
106021615,Regional,95420,22428,20800,1000000,2.08
106021616,Regional,76440,19764,17160,1000000,1.7160000000000002
106021617,Regional,74152,20796,18720,1000000,1.872
106021618,Regional,114868,24180,21840,1000000,2.1839999999999997
106031119,Regional,66716,22104,20800,1000000,2.08
106031120,Regional,57772,18204,18980,1000000,1.8980000000000001
106031121,Regional,65884,22332,20280,1000000,2.028
106031122,Regional,66144,18204,16640,1000000,1.664
106031123,Regional,121004,26004,19760,1000000,1.976
106031124,Regional,53872,19200,18200,1000000,1.82
106031125,Regional,91676,22800,20800,1000000,2.08
106041126,Regional,83356,18204,16120,1000000,1.6119999999999999
106041127,Regional,90532,20796,14560,1000000,1.456
106041128,Regional,79352,19500,15080,1000000,1.508
106041129,Regional,70824,18000,13000,1000000,1.3
107011131,Regional,75140,23400,20280,1000000,2.028
